amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Animal Crossing,Lottie,Animal Crossing,01c10000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01c10000-02440502.png,Lottie,2015-11-21,2015-11-20,2015-11-21,2015-11-22,02440502,Figure
Animal Crossing,Digby,Animal Crossing,018c0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018c0000-02430502.png,Digby,2015-11-21,2015-11-20,2015-11-21,2015-11-13,02430502,Figure
Animal Crossing,Kapp'n,Animal Crossing,01960000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01960000-024e0502.png,Kapp'n,2016-03-19,2016-03-18,2016-03-24,2016-03-18,024e0502,Figure
Animal Crossing,Cyrus,Animal Crossing,018b0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018b0000-02460502.png,Cyrus,2015-11-21,2015-11-20,2015-11-21,2015-11-13,02460502,Figure
Animal Crossing,Mabel,Animal Crossing,01880000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01880000-02410502.png,Mabel,2015-11-21,2015-11-20,2015-11-21,2015-11-13,02410502,Figure
Animal Crossing,Isabelle,Animal Crossing,01810000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810000-024b0502.png,Isabelle - Summer Outfit,2016-03-19,2016-03-18,2016-03-24,2016-06-10,024b0502,Figure
Animal Crossing,Kicks,Animal Crossing,01940000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01940000-024a0502.png,Kicks,2016-01-30,2016-01-29,2015-12-17,2016-01-22,024a0502,Figure
Animal Crossing,Resetti,Animal Crossing,018e0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018e0000-02490502.png,Resetti,2016-01-30,2016-01-29,2015-12-17,2016-01-22,02490502,Figure
Animal Crossing,Timmy & Tommy,Animal Crossing,01840000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01840000-024d0502.png,Timmy & Tommy,2016-03-19,2016-03-18,2016-03-24,2016-03-18,024d0502,Figure
Animal Crossing,Blathers,Animal Crossing,01920000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01920000-02470502.png,Blathers,2016-01-30,2016-01-29,2015-12-17,2016-01-22,02470502,Figure
Animal Crossing,Reese,Animal Crossing,018a0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018a0000-02450502.png,Reese,2015-11-21,2015-11-20,2015-11-21,2015-11-13,02450502,Figure
Animal Crossing,Tom Nook,Animal Crossing,01830000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01830000-02420502.png,Tom Nook,2015-11-21,2015-11-20,2015-11-21,2015-11-13,02420502,Figure
Animal Crossing,K.K. Slider,Animal Crossing,01820000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01820000-02400502.png,K. K. Slider,2015-11-21,2015-11-20,2015-11-21,2015-11-13,02400502,Figure
Animal Crossing,Isabelle,Animal Crossing,01810100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01810100-023f0502.png,Isabelle - Winter Outfit,2015-11-21,2015-11-20,2015-11-21,2015-11-13,023f0502,Figure
Animal Crossing,Celeste,Animal Crossing,01930000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01930000-02480502.png,Celeste,2016-01-30,2016-01-29,2015-12-17,2016-01-22,02480502,Figure
Animal Crossing,Rover,Animal Crossing,018d0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_018d0000-024c0502.png,Rover,2016-03-19,2016-03-18,2016-03-24,2016-03-18,024c0502,Figure
