amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Monster Hunter Rise,Palico,Monster Hunter,35090100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35090100-042b1802.png,Palico,2022-06-30,2022-06-30,2022-06-30,2022-06-30,042b1802,Figure
Monster Hunter,Razewing Ratha,Monster Hunter,35050000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35050000-040c0f02.png,Razewing Ratha,2021-07-09,2021-07-09,2021-07-09,2021-07-09,040c0f02,Figure
Monster Hunter,Rathian,Monster Hunter,35020100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35020100-02e40f02.png,Rathian and Cheval,,,2016-12-08,,02e40f02,Figure
Monster Hunter Rise,Magnamalo,Monster Hunter,35080000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35080000-040f1802.png,Magnamalo,2021-03-26,2021-03-26,2021-03-26,2021-03-26,040f1802,Figure
Monster Hunter Rise,Palamute,Monster Hunter,350a0100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_350a0100-042c1802.png,Palamute,2022-06-30,2022-06-30,2022-06-30,2022-06-30,042c1802,Figure
Monster Hunter,One-Eyed Rathalos,Monster Hunter,35000200,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35000200-02e20f02.png,One-Eyed Rathalos and Rider - Female,,,2016-10-08,,02e20f02,Figure
Monster Hunter,Tsukino,Monster Hunter,35070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35070000-040e0f02.png,Tsukino,2021-07-09,2021-07-09,2021-07-09,2021-07-09,040e0f02,Figure
Monster Hunter,Qurupeco,Monster Hunter,35040100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35040100-02e60f02.png,Qurupeco and Dan,,,2016-12-08,,02e60f02,Figure
Monster Hunter,One-Eyed Rathalos,Monster Hunter,35000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35000100-02e10f02.png,One-Eyed Rathalos and Rider - Male,,,2016-10-08,,02e10f02,Figure
Monster Hunter,Nabiru,Monster Hunter,35010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35010000-02e30f02.png,Nabiru,,,2016-10-08,,02e30f02,Figure
Monster Hunter Rise,Palamute,Monster Hunter,350a0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_350a0000-04111802.png,Palamute,2021-03-26,2021-03-26,2021-03-26,2021-03-26,04111802,Figure
Monster Hunter,Barioth,Monster Hunter,35030100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35030100-02e50f02.png,Barioth and Ayuria,,,2016-12-08,,02e50f02,Figure
Monster Hunter Rise,Malzeno,Monster Hunter,350b0000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_350b0000-042d1802.png,Malzeno,2022-06-30,2022-06-30,2022-06-30,2022-06-30,042d1802,Figure
Monster Hunter,Ena,Monster Hunter,35060000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35060000-040d0f02.png,Ena,2021-07-09,2021-07-09,2021-07-09,2021-07-09,040d0f02,Figure
Monster Hunter Rise,Palico,Monster Hunter,35090000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_35090000-04101802.png,Palico,2021-03-26,2021-03-26,2021-03-26,2021-03-26,04101802,Figure
