amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Super Smash Bros.,Sonic,Sonic,32000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_32000000-00300002.png,Sonic,2015-01-29,2015-02-20,2015-01-22,2015-02-01,00300002,Figure
Super Smash Bros.,Mii,Mii,07c00000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07c00000-00210002.png,Mii Brawler,2015-09-26,2015-09-25,2015-09-10,2015-11-01,00210002,Figure
Super Smash Bros.,Inkling,Splatoon,08000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000100-03820002.png,Inkling,2018-12-07,2018-12-07,2018-12-07,2018-12-07,03820002,Figure
Super Smash Bros.,King K. Rool,Donkey Kong,00c00000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00c00000-037b0002.png,King K. Rool,2019-02-15,2019-02-15,2019-02-15,2019-02-15,037b0002,Figure
Super Smash Bros.,Sephiroth,Final Fantasy,36010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_36010000-04210002.png,Sephiroth,2023-01-13,2023-01-13,2023-01-13,2023-01-13,04210002,Figure
Super Smash Bros.,Lucina,Fire Emblem,21020000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21020000-00290002.png,Lucina,2015-04-25,2015-04-24,2015-04-29,2015-05-29,00290002,Figure
Super Smash Bros.,Squirtle,Pokemon,19070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_19070000-03840002.png,Squirtle,2019-09-20,2019-09-20,2019-09-20,2019-09-20,03840002,Figure
Super Smash Bros.,Link,The Legend of Zelda,01000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-00040002.png,Link,2014-11-29,2014-11-28,2014-12-06,2014-11-21,00040002,Figure
Super Smash Bros.,Cloud Strife,Final Fantasy,36000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_36000000-02590002.png,Cloud,2017-07-22,2017-07-21,2017-07-21,2017-07-21,02590002,Figure
Super Smash Bros.,Ike,Fire Emblem,21010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21010000-00180002.png,Ike,2015-01-29,2015-01-23,2015-01-22,2015-02-01,00180002,Figure
Super Smash Bros.,Corrin,Fire Emblem,21050000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_21050000-025a0002.png,Corrin,2017-07-22,2017-07-21,2017-07-21,2017-07-21,025a0002,Figure
Super Smash Bros.,Dark Pit,Kid Icarus,07410000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07410000-00200002.png,Dark Pit,2015-07-04,2015-06-26,2015-06-11,2015-07-31,00200002,Figure
Super Smash Bros.,Rosalina,Super Mario,00040100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00040100-00130002.png,Rosalina & Luma,2015-01-29,2015-01-23,2015-01-22,2015-02-01,00130002,Figure
Super Smash Bros.,Wii Fit Trainer,Wii Fit,07000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_07000000-00070002.png,Wii Fit Trainer,2014-11-29,2014-11-28,2014-12-06,2014-11-21,00070002,Figure
Super Smash Bros.,Wario,Super Mario,00070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00070000-001a0002.png,Wario,2015-04-25,2015-04-24,2015-04-29,2015-05-29,001a0002,Figure
Super Smash Bros.,Diddy Kong,Super Mario,00090000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_00090000-000d0002.png,Diddy Kong,2014-12-12,2014-12-19,2014-12-06,2014-12-14,000d0002,Figure
Super Smash Bros.,Hero,Dragon Quest,36400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_36400000-03a20002.png,Hero,2020-09-25,2020-09-25,2020-09-25,2020-10-05,03a20002,Figure
