amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Splatoon,Inkling,Splatoon,08000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000100-04150402.png,Inkling - Yellow,2022-11-11,2022-11-11,2022-11-11,2022-11-11,04150402,Figure
Splatoon,Shiver,Splatoon,08070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08070000-04330402.png,Shiver,2023-11-17,2023-11-17,2023-11-17,2023-11-17,04330402,Figure
Splatoon,Frye,Splatoon,08080000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08080000-04340402.png,Frye,2023-11-17,2023-11-17,2023-11-17,2023-11-17,04340402,Figure
Splatoon,Big Man,Splatoon,08090000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08090000-04350402.png,Big Man,2023-11-17,2023-11-17,2023-11-17,2023-11-17,04350402,Figure
Splatoon,Smallfry,Splatoon,08060100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08060100-041c0402.png,Smallfry,2022-11-11,2022-11-11,2022-11-11,2022-11-11,041c0402,Figure
Splatoon,Octoling,Splatoon,08050200,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08050200-038f0402.png,Octoling Boy,2018-11-11,2018-11-09,2018-11-09,2018-11-09,038f0402,Figure
Splatoon,Octoling,Splatoon,08050100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08050100-038e0402.png,Octoling Girl,2018-11-11,2018-11-09,2018-11-09,2018-11-09,038e0402,Figure
Splatoon,Inkling,Splatoon,08000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000100-003e0402.png,Inkling Girl,2015-05-30,2015-05-29,2015-05-28,2015-05-29,003e0402,Figure
Splatoon,Inkling,Splatoon,08000200,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000200-003f0402.png,Inkling Boy,2015-05-30,2015-05-29,2015-05-28,2015-05-29,003f0402,Figure
Splatoon,Callie,Splatoon,08010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08010000-025d0402.png,Callie,2016-07-09,2016-07-08,2016-07-07,2016-07-08,025d0402,Figure
Splatoon,Marie,Splatoon,08020000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08020000-025e0402.png,Marie,2016-07-09,2016-07-08,2016-07-07,2016-07-08,025e0402,Figure
Splatoon,Inkling,Splatoon,08000300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000300-00400402.png,Inkling Squid,2015-05-30,2015-05-29,2015-05-28,2015-05-29,00400402,Figure
Splatoon,Inkling,Splatoon,08000300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000300-02610402.png,Inkling Squid - Orange,2016-07-09,2016-07-08,2016-07-07,2016-07-08,02610402,Figure
Splatoon,Pearl,Splatoon,08030000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08030000-03760402.png,Pearl,2018-07-13,2018-07-13,2018-07-13,2018-07-13,03760402,Figure
Splatoon,Inkling,Splatoon,08000200,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000200-02600402.png,Inkling Boy - Purple,2016-07-09,2016-07-08,2016-07-07,2016-07-08,02600402,Figure
Splatoon,Inkling,Splatoon,08000300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000300-036b0402.png,Inkling Squid - Neon Purple,2017-07-21,2017-07-21,2017-07-21,2017-07-21,036b0402,Figure
Splatoon,Inkling,Splatoon,08000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000100-03690402.png,Inkling Girl - Neon Pink,2017-07-21,2017-07-21,2017-07-21,2017-07-21,03690402,Figure
Splatoon,Inkling,Splatoon,08000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000100-025f0402.png,Inkling Girl - Lime Green,2016-07-09,2016-07-08,2016-07-07,2016-07-08,025f0402,Figure
Splatoon,Octoling,Splatoon,08050200,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08050200-041b0402.png,Octoling - Blue,2022-11-11,2022-11-11,2022-11-11,2022-11-11,041b0402,Figure
Splatoon,Inkling,Splatoon,08000200,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08000200-036a0402.png,Inkling Boy - Neon Green,2017-07-21,2017-07-21,2017-07-21,2017-07-21,036a0402,Figure
Splatoon,Marina,Splatoon,08040000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08040000-03770402.png,Marina,2018-07-13,2018-07-13,2018-07-13,2018-07-13,03770402,Figure
Splatoon,Octoling,Splatoon,08050300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_08050300-03900402.png,Octoling Octopus,2018-11-11,2018-11-09,2018-11-09,2018-11-09,03900402,Figure
