amiibo/amiiboSeries,amiibo/character,amiibo/gameSeries,amiibo/head,amiibo/image,amiibo/name,amiibo/release/au,amiibo/release/eu,amiibo/release/jp,amiibo/release/na,amiibo/tail,amiibo/type
Legend Of Zelda,Zelda,The Legend of Zelda,1010300,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010300-04140902.png,Zelda & Loftwing,2021-07-16,2021-07-16,2021-07-16,2021-07-16,4140902,Figure
Legend Of Zelda,Guardian,Breath of the Wild,1400000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01400000-03550902.png,Guardian,2017-03-03,2017-03-03,2017-03-03,2017-03-03,3550902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-03530902.png,Link - Archer,2017-03-03,2017-03-03,2017-03-03,2017-03-03,3530902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034f0902.png,8-Bit Link,2016-12-03,2016-12-02,2016-12-01,2016-12-02,034f0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-03540902.png,Link - Rider,2017-03-03,2017-03-03,2017-03-03,2017-03-03,3540902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000100-03500902.png,Toon Link - The Wind Waker,2016-12-03,2016-12-02,2016-12-01,2016-12-02,3500902,Figure
Legend Of Zelda,Zelda,The Legend of Zelda,1010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-03560902.png,Zelda,2017-03-03,2017-03-03,2017-03-03,2017-03-03,3560902,Figure
Legend Of Zelda,Midna,The Legend of Zelda,1030000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01030000-024f0902.png,Midna & Wolf Link,2016-03-05,2016-03-04,2016-03-10,2016-03-04,024f0902,Figure
Legend Of Zelda,Daruk,The Legend of Zelda,1050000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01050000-03580902.png,Daruk,2017-11-10,2017-11-10,2017-11-10,2017-11-10,3580902,Figure
Legend Of Zelda,Mipha,The Legend of Zelda,1070000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01070000-035a0902.png,Mipha,2017-11-10,2017-11-10,2017-11-10,2017-11-10,035a0902,Figure
Legend Of Zelda,Revali,The Legend of Zelda,1080000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01080000-035b0902.png,Revali,2017-11-10,2017-11-10,2017-11-10,2017-11-10,035b0902,Figure
Legend Of Zelda,Zelda,The Legend of Zelda,1010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-03520902.png,Toon Zelda - The Wind Waker,2016-12-03,2016-12-02,2016-12-01,2016-12-02,3520902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034d0902.png,Link - Twilight Princess,2017-06-24,2017-06-23,2017-06-23,2017-06-23,034d0902,Figure
Legend Of Zelda,Ganon,The Legend of Zelda,1020100,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01020100-041a0902.png,Ganondorf - Tears of the Kingdom,2023-11-03,2023-11-03,2023-11-03,2023-11-03,041a0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034b0902.png,Link - Ocarina of Time,2016-12-03,2016-12-02,2016-12-01,2016-12-02,034b0902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034c0902.png,Link - Majora's Mask,2017-06-24,2017-06-23,2017-06-23,2017-06-23,034c0902,Figure
Legend Of Zelda,Bokoblin,Breath of the Wild,1410000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01410000-035c0902.png,Bokoblin,2017-03-03,2017-03-03,2017-03-03,2017-03-03,035c0902,Figure
Legend Of Zelda,Urbosa,The Legend of Zelda,1060000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01060000-03590902.png,Urbosa,2017-11-10,2017-11-10,2017-11-10,2017-11-10,3590902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-03990902.png,Link - Link's Awakening,2019-09-20,2019-09-20,2019-09-20,2019-09-20,3990902,Figure
Legend Of Zelda,Zelda,The Legend of Zelda,1010000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01010000-04190902.png,Zelda - Tears of the Kingdom,2023-11-03,2023-11-03,2023-11-03,2023-11-03,4190902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-04180902.png,Link - Tears of the Kingdom,2023-05-12,2023-05-12,2023-05-12,2023-05-12,4180902,Figure
Legend Of Zelda,Link,The Legend of Zelda,1000000,https://raw.githubusercontent.com/N3evin/AmiiboAPI/master/images/icon_01000000-034e0902.png,Link - Skyward Sword,2017-06-24,2017-06-23,2017-06-23,2017-06-23,034e0902,Figure
